연번,구,유형,주소,세부 위치,위도,경도
3,광진구,폐건전지,서울특별시 광진구 광장로1다길 2,현대빌라,,
3,광진구,폐건전지,서울특별시 광진구 광장로1다길 12-3 ,경동빌라,,
3,광진구,폐건전지,서울특별시 광진구 아차산로 546,삼성2차,,
3,광진구,폐건전지,서울특별시 광진구 워커힐길32,양진초등학교,,
3,광진구,폐건전지,서울특별시 광진구 아차산로70길 62,광장현대3단지(1),,
3,광진구,폐건전지,서울특별시 광진구 아차산로70길 62,광장현대3단지(2),,
3,광진구,폐건전지,서울특별시 광진구 광나루로 585,이노빌,,
3,광진구,폐건전지,서울특별시 광진구 아차산로70길 61,광장현대5단지,,
3,광진구,폐건전지,서울특별시 광진구 아차산로70길 17-16,광남고등학교,,
3,광진구,폐건전지,서울특별시 광진구 아차산로70길 17-16,광남중학교,,
3,광진구,폐건전지,서울특별시 광진구 아차산로 522,광장현대8단지(1),,
3,광진구,폐건전지,서울특별시 광진구 아차산로 522,광장현대8단지(2),,
3,광진구,폐건전지,서울특별시 광진구 아차산로78길 161,광나루현대(1),,
3,광진구,폐건전지,서울특별시 광진구 아차산로78길 161,광나루현대(2),,
3,광진구,폐건전지,서울특별시 광진구 아차산로 540,상록타워,,
